logentry,permission,id,app_label,model
NA,NA,1,admin,logentry
NA,NA,2,auth,permission
NA,NA,3,auth,group
NA,NA,4,auth,user
NA,NA,5,contenttypes,contenttype
NA,NA,6,sessions,session
NA,NA,7,school,attendance
NA,NA,8,school,attendance_api
NA,NA,9,school,classmaster
NA,NA,10,school,divisionmaster
NA,NA,11,school,mediummaster
NA,NA,12,school,ownermaster
NA,NA,13,school,parentsmaster
NA,NA,14,school,schoolmaster
NA,NA,15,school,staffmaster
NA,NA,16,school,studentmaster
NA,NA,17,school,notice_board_school
NA,NA,18,school,school_transport
NA,NA,19,school,school_library
NA,NA,20,school,school_holiday
NA,NA,21,school,message_pack
NA,NA,22,school,quary_form
NA,NA,23,school,user_command
NA,NA,24,school,gpsrestapi
NA,NA,25,school,bikeapi
NA,NA,26,school,pumpapi
NA,NA,27,school,bike_user
NA,NA,28,school,school_machine_api
NA,NA,29,school,school_machine_details
NA,NA,30,school,school_machine_update
NA,NA,31,school,bike_user_details
NA,NA,32,school,posts
NA,NA,33,school,busmap
NA,NA,34,school,busapi
