medium_id,school_code,medium_name,created_on
1,demo1,English,2020-08-22 12:58:43+00:00
2,demo1,Hindi,2020-08-22 12:59:13+00:00
3,demo2,English,2020-08-22 13:00:11+00:00
4,sxps,Hindi,2020-09-21 20:17:37+00:00
5,sxps,English,2020-09-21 20:17:37.630298+00:00
6,demo3,English,2020-09-21 18:59:20.547978+00:00
7,demo3,,2020-09-21 18:59:20.579876+00:00
8,t0016473,English,2020-09-23 10:35:20.963721+00:00
9,t0016473,,2020-09-23 10:35:20.994669+00:00
10,st001,English,2020-10-05 11:08:35.635988+00:00
11,st001,Hindi,2020-10-05 11:08:35.666953+00:00
12,10150605203,Hindi,2020-11-22 10:11:10.627372+00:00
13,10150605203,English,2020-11-22 10:11:10.631251+00:00
14,s003,English,2021-02-01 09:39:24.193377+00:00
15,s003,Hindi,2021-02-01 09:39:24.194182+00:00
16,S004,English,2021-02-09 06:11:50.223765+00:00
17,S004,Hindi,2021-02-09 06:11:50.225922+00:00
18,s004,English,2021-02-09 10:22:45+00:00
19,s004,Hindi,2021-02-09 10:23:35+00:00
20,soo5,English,2021-02-10 05:08:26.532149+00:00
21,soo5,Hindi,2021-02-10 05:08:26.562969+00:00
22,s006,English,2021-02-10 06:08:36.445271+00:00
23,s006,Hindi,2021-02-10 06:08:36.446139+00:00
24,s007,English,2021-02-10 07:04:22.029559+00:00
25,s007,Hindi,2021-02-10 07:04:22.030688+00:00
26,s008,English,2021-02-10 08:47:41.112757+00:00
27,s008,Hindi,2021-02-10 08:47:41.115449+00:00
28,m001,Hindi,2021-02-10 11:25:00+00:00
29,m001,English,2021-02-10 11:25:46+00:00
30,n001,English,2021-02-11 11:59:07.641775+00:00
31,n001,Hindi,2021-02-11 11:59:07.642703+00:00
32,S009,English,2021-02-19 07:39:13.387817+00:00
33,S009,Hindi,2021-02-19 07:39:13.388868+00:00
34,c001,English,2021-02-26 10:01:24.940884+00:00
35,c001,Hindi,2021-02-26 10:01:24.971819+00:00
36,sbsy25,English,2021-03-05 04:51:44.274556+00:00
37,sbsy25,Hindi,2021-03-05 04:51:44.802674+00:00
38,sbsy26,Hindi,2021-03-06 07:42:55.477483+00:00
39,sbsy27,English,2021-03-08 13:46:23.239075+00:00
40,sbsy27,Hindi,2021-03-08 13:46:23.774156+00:00
41,sbsy28,English,2021-03-10 06:18:16.903952+00:00
42,sbsy29,English,2021-03-12 07:01:27.650201+00:00
43,sbsy31,English,2021-03-12 11:11:14.747906+00:00
44,sbsy32,English,2021-03-13 05:33:22.144742+00:00
45,sbsy33,English,2021-03-13 06:54:31.569724+00:00
46,sbsy34,English,2021-03-15 02:07:53.298129+00:00
47,sbsy35,English,2021-03-17 04:55:54.677648+00:00
48,sbsy35,Hindi,2021-03-17 04:55:55.205611+00:00
49,sbsy36,English,2021-03-17 06:28:59.929660+00:00
